DeviceID,GASMETERID,block_code
31804975,,1014
20376927,49747536,1014
20376927,49747455,1014
31804977,,1014
31804974,,1014
20376612,46351135,1014
20380345,46351097,1014
31042142,35549085,4010
31042231,,4010
20377617,,1014
20379698,92337633,1014
31801282,92338217,4010
18203619,49755806,4010
20377590,,1014
20379005,40474059,1014
20379019,,1014
20377567,90971901,1014
20379020,90972055,1014
20377621,46300857,1014
31773032,,1004
31051837,,3000
31051825,90008489,3000
20376685,,3000
20377090,,3000
20376711,49755519,3000
20376041,49769402,3000
20376042,,3000
31804373,54354660,3002
20378898,,3002
20378900,,3002
20378892,,3002
20378897,,3002
31801079,54460323,3002
18203661,56356849,3002
31804362,54363180,3002
31802708,,3002
31801854,,3003
83770182,,1000
57059537,,4008
31042093,,4008
57059551,,4008
31034052,35567633,4008
57059623,,4008
31806243,,1009
57059545,,4008
57059547,,4008
20380313,94746179,4008
29618323,,1000
85116873,,1000
56976586,,4008
56976606,,4008
31042109,,4008
56976538,90971757,4008
31051039,46345369,1003
56294816,46301407,1006
31051038,46300249,1006
18195653,46335279,1006
31043206,92337892,1006
29085490,,1006
31051041,33418191,1006
57059520,33466517,1006
30524906,,1006
31801620,90974335,1006
20377060,,1006
31801320,90972019,1003
31801344,90972027,1003
31801131,46300636,1003
31048938,90953498,1002
31802124,94746106,1002
31803290,56355581,1001
18204188,49746991,1001
31805106,46264069,1002
18205088,33419482,1001
18203724,,1001
18203871,46264066,1001
18203872,33418870,1001
83779470,35051658,2002
83779268,,1008
29924897,90974270,1011
31802097,,1010
28357410,33466412,1010
28357409,,1010
29924848,40474006,1010
29924898,49747347,1011
29924895,54459618,1009
83779309,,1002
83770198,46335277,1007
18038754,56357096,1007
18038767,54460462,1007
18195616,90953545,1002
28896824,40474736,1002
85116836,,1002
85116755,,1002
29085471,92331038,1002
31045065,54460036,1002
31045066,33466557,1002
18195633,46301541,1002
29026555,,1002
18195615,54460060,1002
18195654,49769215,1002
29026550,49747618,1002
29340719,49746985,1018
29340725,49747271,1018
29340718,49747228,1018
56506728,49747586,1018
56506715,49747209,1018
29340727,90971855,1018
30729165,,1018
56976719,49747575,1018
29340721,90974818,1018
83770114,35549016,1024
52177838,,1002
21654907,,1002
83769462,,1020
52300804,,1014
31803233,,1014
57531801,49747181,3032
31801633,,3014
31745296,46294995,3032
31802811,,1025
31803211,,1025
11525116,,1004
11549592,,1004
20176621,,1004
11589559,,1004
18259258,,1025
31800062,90972040,1025
5827334,90971824,1025
31048153,,1004
31048128,,1004
31048126,,1004
31048154,,1004
52062255,,1025
31048163,,1004
31048235,,1004
31048228,,1004
31048236,,1004
31802682,90974951,1025
31806273,40489582,4001
31804788,40474148,4001
31805111,54354531,4001
52061802,,4001
52062245,,4001
52300890,,4001
52300870,46363630,4001
52302748,40474041,4001
52062262,46300294,3002
57553386,49767885,4001
52062233,,4001
52062205,,4001
52062211,35566372,4001
30527423,,3002
30527438,,3002
30527422,92351486,3002
30527425,,3002
31806266,54460269,4001
31803421,46302416,3002
31803420,46302418,3002
20378962,56365672,4001
20376671,,4001
55728184,,2001
83771882,94746319,2033
