block_code,total_population,num_white,num_african_american,num_american_indian,num_asian,num_hispanic_latino,median_income,num_housing_units,median_house_value
3010,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3011,1084.0,331.0,21.0,0.0,0.0,653.0,48947.0,482.0,164900.0
3012,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
3013,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
3014,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3015,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3016,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3017,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3018,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3019,1285.0,1054.0,0.0,0.0,12.0,216.0,84821.0,467.0,262600.0
3020,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
3021,1185.0,774.0,28.0,0.0,0.0,383.0,108984.0,273.0,229800.0
3022,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3023,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3024,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3025,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3026,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3027,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3028,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3029,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3030,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3031,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3032,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3033,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3034,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3035,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
3036,823.0,801.0,0.0,0.0,0.0,22.0,56250.0,362.0,166900.0
4000,1258.0,782.0,19.0,0.0,0.0,424.0,72895.0,536.0,169900.0
4001,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4002,1258.0,782.0,19.0,0.0,0.0,424.0,72895.0,536.0,169900.0
4003,1165.0,28.0,74.0,0.0,0.0,1045.0,18708.0,409.0,0.0
4004,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4005,301.0,114.0,20.0,0.0,0.0,167.0,95156.0,223.0,179600.0
4006,301.0,114.0,20.0,0.0,0.0,167.0,95156.0,223.0,179600.0
4007,669.0,547.0,13.0,0.0,44.0,47.0,101944.0,277.0,174000.0
4008,1165.0,28.0,74.0,0.0,0.0,1045.0,18708.0,409.0,0.0
4009,1258.0,782.0,19.0,0.0,0.0,424.0,72895.0,536.0,169900.0
4010,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4011,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4012,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4013,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4014,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4015,657.0,409.0,50.0,0.0,35.0,163.0,83295.0,299.0,210300.0
4020,2895.0,2805.0,0.0,0.0,90.0,0.0,109688.0,972.0,326000.0
